region,nombre_seismes,magnitude_moyenne,magnitude_max,profondeur_moyenne
"Yakutat, Alaska",3305,2.42,5.8,5.7
"Sand Point, Alaska",2665,2.55,6.2,22.1
"Petropavlovsk-Kamchatsky, Russia",1659,4.51,7.8,26.2
"Adak, Alaska",1465,2.75,6.2,45.5
"Vilyuchinsk, Russia",988,4.55,6.2,27.8
"Severo-Kuril’sk, Russia",901,4.53,6.8,36.7
"Whites City, New Mexico",641,2.37,5.4,6.3
"Nikolski, Alaska",640,2.99,6.1,27.4
"Atka, Alaska",491,2.93,5.1,55.6
"Pāhala, Hawaii",393,2.4,4.2,28.6
"Ozernovskiy, Russia",393,4.49,6.1,43.5
"Indios, Puerto Rico",370,2.36,4.4,14.8
"False Pass, Alaska",337,2.56,4.6,31.6
the Fiji Islands,328,4.48,6.6,457.5
"Petrolia, CA",320,2.63,4.7,12.4
"Toyah, Texas",311,2.28,3.5,6.6
"Kimbe, Papua New Guinea",293,4.57,6.9,22.0
"Akutan, Alaska",289,2.59,5.2,40.8
South Sandwich Islands region,280,4.7,6.0,41.1
"Pedro Bay, Alaska",262,2.38,4.3,123.5
